nbr_images, elapsed(sec), avg_img_size
62, 10.027117729187012, 518080.9032258064
90, 10.103815078735352, 523439.0333333333
84, 10.038686037063599, 526099.8333333334
83, 10.015517711639404, 526123.9638554216
79, 10.059964418411255, 527866.9620253164
66, 10.075143814086914, 527401.8939393939
89, 10.061123371124268, 526989.8089887641
88, 10.064964056015015, 526028.9318181818
85, 10.038836479187012, 525430.7176470588
90, 10.029748439788818, 525206.9444444445
90, 10.015546798706055, 524813.6
89, 10.103509426116943, 524581.5168539326
94, 10.097336053848267, 514408.93617021275
87, 10.071149349212646, 516009.9540229885
73, 10.031230449676514, 516544.19178082194
94, 10.064486980438232, 516738.87234042556
77, 10.029630422592163, 516720.7662337662
86, 10.039798259735107, 517542.6395348837
92, 10.028581380844116, 517611.6956521739
90, 10.026755094528198, 517380.7
89, 10.098755359649658, 517264.34831460676
91, 10.071555376052856, 517511.1208791209
94, 10.03670859336853, 517192.9680851064
93, 10.089091300964355, 517057.8494623656
94, 10.083784103393555, 516851.77659574465
85, 10.314223527908325, 516744.91764705884
37, 10.092055082321167, 516605.02702702704
89, 10.012178182601929, 516624.65168539324
88, 10.061758518218994, 516207.45454545453
76, 10.001163005828857, 516644.4736842105
86, 10.057687044143677, 516560.72093023255
89, 10.099205255508423, 516530.03370786516
87, 10.042963981628418, 516564.632183908
92, 10.064513444900513, 516402.07608695654
94, 10.056369066238403, 516439.8404255319
91, 10.04608154296875, 516426.010989011
93, 10.008255004882812, 516336.67741935485
94, 10.098250150680542, 516281.75531914894
83, 10.0220205783844, 516244.8795180723
85, 10.060549020767212, 516404.4588235294
85, 10.131535530090332, 516707.0470588235
86, 10.120551347732544, 516627.24418604653
69, 10.044938325881958, 516615.3188405797
90, 10.033785104751587, 516510.5
88, 10.088400602340698, 516337.5227272727
94, 10.064805507659912, 516449.6489361702
94, 10.053088665008545, 516336.8404255319
94, 10.132733821868896, 516382.6489361702
73, 10.356935739517212, 516477.1369863014
73, 10.02049446105957, 516486.31506849313
87, 10.025797128677368, 516531.7816091954
93, 10.046364545822144, 516512.87096774194
75, 10.261029958724976, 516448.5733333333
81, 10.047341346740723, 516505.6296296296
92, 10.052424907684326, 516344.57608695654
92, 10.052198886871338, 516364.47826086957
77, 10.043785572052002, 516242.7272727273
69, 10.070946455001831, 516153.8985507246
53, 10.057008743286133, 516156.8490566038
95, 10.04731798171997, 516238.7894736842
95, 10.023508548736572, 516309.2842105263
91, 10.030809879302979, 516198.9010989011
86, 10.063502550125122, 516157.93023255817
96, 10.089722871780396, 511957.3958333333
92, 10.018574476242065, 513092.77173913043
94, 10.01084589958191, 513098.12765957444
92, 10.005791902542114, 513996.79347826086
95, 10.09227180480957, 514064.5789473684
91, 10.089664459228516, 514093.53846153844
94, 10.011940956115723, 514155.87234042556
89, 10.041617631912231, 514135.78651685396
94, 10.072103023529053, 514059.52127659577
95, 10.078606843948364, 513786.6947368421
94, 10.076603174209595, 513038.22340425535
90, 10.073661088943481, 516158.4555555555
95, 10.00968074798584, 515936.4
93, 10.047498941421509, 515935.6989247312
96, 10.083690881729126, 515911.9895833333
92, 10.083158016204834, 513711.1956521739
93, 10.07459831237793, 513560.65591397847
72, 10.004899501800537, 513376.34722222225
89, 10.018008947372437, 513315.30337078654
89, 10.016098976135254, 513446.2584269663
91, 10.013746500015259, 513307.2417582418
89, 10.041802167892456, 513216.28089887643
93, 10.069738388061523, 513199.77419354836
88, 10.03263807296753, 513171.125
92, 10.001507997512817, 513560.35869565216
89, 10.019380331039429, 513978.8764044944
94, 10.034015655517578, 514528.05319148937
87, 10.130944013595581, 514400.6781609195
81, 10.028901100158691, 514328.3333333333
84, 10.084858179092407, 514346.10714285716
87, 10.10489296913147, 514303.8850574713
87, 10.070005893707275, 514398.6206896552
91, 10.044589757919312, 514526.9010989011
91, 10.080996751785278, 514274.34065934067
90, 10.008335590362549, 514304.47777777776
90, 10.083630561828613, 512935.8222222222
85, 10.029119968414307, 513680.91764705884
