nbr_images, elapsed(sec), avg_img_size
221, 10.039377212524414, 115200.0
289, 10.023132085800171, 115200.0
289, 10.01616644859314, 115200.0
278, 10.032090663909912, 115200.0
289, 10.032175302505493, 115200.0
289, 10.024708271026611, 115200.0
289, 10.027074098587036, 115200.0
279, 10.029348850250244, 115200.0
289, 10.032649040222168, 115200.0
277, 10.030054807662964, 115200.0
289, 10.034812927246094, 115200.0
282, 10.035090446472168, 115200.0
289, 10.02251124382019, 115200.0
289, 10.026226043701172, 115200.0
266, 10.016560554504395, 115200.0
278, 10.000812768936157, 115200.0
288, 10.000880718231201, 115200.0
288, 10.003211975097656, 115200.0
289, 10.029928207397461, 115200.0
287, 10.010981798171997, 115200.0
286, 10.000280618667603, 115200.0
278, 10.033150434494019, 115200.0
289, 10.025980710983276, 115200.0
289, 10.032456159591675, 115200.0
289, 10.025227546691895, 115200.0
289, 10.036229610443115, 115200.0
289, 10.03047227859497, 115200.0
277, 10.025005578994751, 115200.0
289, 10.033414125442505, 115200.0
289, 10.022997617721558, 115200.0
289, 10.022416114807129, 115200.0
288, 10.018277883529663, 115200.0
283, 10.014003992080688, 115200.0
277, 10.006411075592041, 115200.0
289, 10.02295446395874, 115200.0
288, 10.080391645431519, 115200.0
138, 10.006773710250854, 115200.0
289, 10.03089714050293, 115200.0
289, 10.0304856300354, 115200.0
278, 10.027937650680542, 115200.0
289, 10.03225040435791, 115200.0
289, 10.018086910247803, 115200.0
289, 10.02858018875122, 115200.0
288, 10.00287938117981, 115200.0
289, 10.026471376419067, 115200.0
278, 10.032608985900879, 115200.0
289, 10.029103517532349, 115200.0
289, 10.02636194229126, 115200.0
289, 10.030730962753296, 115200.0
289, 10.039437055587769, 115200.0
289, 10.021310329437256, 115200.0
279, 10.036759614944458, 115200.0
289, 10.022376775741577, 115200.0
289, 10.01808786392212, 115200.0
289, 10.033764600753784, 115200.0
289, 10.02528977394104, 115200.0
288, 10.010007619857788, 115200.0
263, 10.024526357650757, 115200.0
289, 10.028385400772095, 115200.0
289, 10.022168397903442, 115200.0
289, 10.036235332489014, 115200.0
285, 10.002123832702637, 115200.0
289, 10.012805461883545, 115200.0
277, 10.004323482513428, 115200.0
280, 10.023854494094849, 115200.0
289, 10.050969362258911, 115200.0
289, 10.015788793563843, 115200.0
289, 10.027867317199707, 115200.0
289, 10.028322696685791, 115200.0
279, 10.03170394897461, 115200.0
288, 10.010909080505371, 115200.0
289, 10.006250858306885, 115200.0
289, 10.025297164916992, 115200.0
288, 10.001066446304321, 115200.0
289, 10.032747507095337, 115200.0
281, 10.026608228683472, 115200.0
289, 10.020539999008179, 115200.0
289, 10.028811693191528, 115200.0
288, 10.001667261123657, 115200.0
289, 10.027332067489624, 115200.0
289, 10.029449701309204, 115200.0
280, 10.031826734542847, 115200.0
289, 10.037521839141846, 115200.0
289, 10.030600547790527, 115200.0
289, 10.020977020263672, 115200.0
289, 10.029401302337646, 115200.0
289, 10.028855085372925, 115200.0
270, 10.027115821838379, 115200.0
117, 10.712149858474731, 115200.0
242, 10.005146503448486, 115200.0
289, 10.035358667373657, 115200.0
289, 10.038378477096558, 115200.0
289, 10.01973557472229, 115200.0
279, 10.02762746810913, 115200.0
289, 10.021445035934448, 115200.0
285, 10.029484033584595, 115200.0
240, 10.003877878189087, 115200.0
288, 10.004514694213867, 115200.0
279, 10.021821022033691, 115200.0
274, 10.029409885406494, 115200.0
