nbr_images, elapsed(sec), avg_img_size
206, 10.01993179321289, 65668.33495145632
217, 10.028130292892456, 64494.95391705069
254, 10.038994312286377, 64578.26377952756
280, 10.031898021697998, 63576.62142857143
189, 10.000833749771118, 62024.322751322754
148, 10.058698177337646, 66861.89864864865
291, 10.01841950416565, 66738.81099656357
263, 10.02456283569336, 66665.67300380228
161, 10.028337955474854, 66604.33540372671
290, 10.02619743347168, 66565.58275862069
289, 10.000140190124512, 66552.91349480969
286, 10.02669072151184, 65719.47552447552
289, 10.03042721748352, 66843.23875432526
218, 10.001380920410156, 67241.0504587156
258, 10.028658151626587, 67032.08527131783
281, 10.021686553955078, 68215.83274021352
233, 10.04084300994873, 66969.09871244636
221, 10.027889966964722, 66522.01809954751
289, 10.02013373374939, 67548.01730103807
287, 10.007088899612427, 67364.33797909408
276, 10.020555973052979, 67558.55072463768
289, 10.02822995185852, 67497.13148788927
145, 10.047106742858887, 67804.57931034482
234, 10.012737274169922, 68154.97435897436
289, 10.026772022247314, 67623.89619377162
289, 10.03128433227539, 67710.84429065743
289, 10.032041788101196, 66803.23183391003
289, 10.03694748878479, 66643.28719723184
289, 10.028221368789673, 67631.42214532872
289, 10.024242401123047, 67803.29065743944
289, 10.025958061218262, 67855.81660899654
289, 10.027928352355957, 67670.53287197232
289, 10.028238296508789, 67695.40138408304
288, 10.015913248062134, 67861.75
289, 10.007607460021973, 67832.87197231835
289, 10.026815176010132, 68239.70934256056
289, 10.031651496887207, 68434.17301038062
289, 10.031729221343994, 68450.5259515571
289, 10.032565832138062, 68356.78200692042
289, 10.032552003860474, 68320.38408304498
289, 10.028306722640991, 68126.54671280277
289, 10.020520687103271, 68035.38062283737
289, 10.03021240234375, 68261.10034602076
289, 10.02798843383789, 68616.26297577855
288, 10.024319410324097, 68519.29861111111
290, 10.03355073928833, 68508.4724137931
289, 10.029830694198608, 68445.4740484429
289, 10.030332088470459, 68324.27335640139
289, 10.028503894805908, 68201.18685121107
289, 10.030685186386108, 68352.77162629757
288, 10.006040573120117, 68465.20833333333
289, 10.029521703720093, 68206.72664359861
289, 10.014953374862671, 68245.59169550173
289, 10.028523445129395, 68306.65743944637
289, 10.03128695487976, 68331.09688581315
289, 10.026821613311768, 68352.42214532872
289, 10.031116247177124, 68473.38062283737
289, 10.028310775756836, 68570.30795847751
289, 10.028234720230103, 68617.90311418685
289, 10.033699750900269, 68723.66782006921
289, 10.028171300888062, 68681.44982698961
288, 10.003086805343628, 68802.21527777778
289, 10.032581090927124, 68828.37716262975
289, 10.026449203491211, 68825.69550173011
289, 10.018454313278198, 68827.48442906575
289, 10.031521081924438, 68777.99307958478
288, 10.002577304840088, 68741.09027777778
289, 10.019041061401367, 68705.12456747405
288, 10.008977174758911, 68628.69444444444
289, 10.013868570327759, 68536.37716262975
289, 10.032642841339111, 68525.05190311419
289, 10.025771141052246, 68551.69896193771
288, 10.00184416770935, 68556.54513888889
288, 10.000362873077393, 68522.76041666667
289, 10.027079105377197, 68541.89619377162
289, 10.018372774124146, 68445.64705882352
289, 10.048078775405884, 68332.8615916955
289, 10.010125398635864, 68228.31833910034
288, 10.003997325897217, 68174.42361111111
288, 10.001948833465576, 68193.92708333333
289, 10.02506685256958, 68005.90311418685
289, 10.016921043395996, 66940.43252595156
289, 10.02959394454956, 66878.17647058824
289, 10.028477907180786, 66501.76124567474
289, 10.034483671188354, 66985.62975778547
289, 10.024666547775269, 67395.1349480969
289, 10.029912233352661, 67485.83737024221
289, 10.03041958808899, 66698.19723183391
289, 10.030879497528076, 67171.1349480969
288, 10.000191926956177, 67494.53125
289, 10.032167673110962, 67306.78546712802
289, 10.026698350906372, 67509.03806228374
289, 10.019583702087402, 67849.80622837371
289, 10.032489538192749, 66737.4982698962
289, 10.025916576385498, 67114.30795847751
289, 10.030420541763306, 67047.1349480969
289, 10.028956413269043, 67019.01384083045
289, 10.02892780303955, 66801.32871972318
289, 10.031519651412964, 66907.92733564014
289, 10.03390908241272, 67438.06574394464
