nbr_images, elapsed(sec), avg_img_size
166, 10.01574444770813, 62089.62048192771
210, 10.004275798797607, 62197.55238095238
233, 10.04370903968811, 62229.274678111586
222, 10.059751749038696, 62184.56306306306
210, 10.013295888900757, 60819.80952380953
224, 10.002310276031494, 60313.549107142855
231, 10.079341411590576, 59889.1341991342
249, 10.009427785873413, 65693.63052208835
214, 10.028653621673584, 63587.11214953271
244, 10.018374919891357, 62998.25409836065
219, 10.023516178131104, 64918.12328767123
196, 10.015130281448364, 64298.08163265306
232, 10.021433591842651, 62679.849137931036
229, 10.027929067611694, 61287.13100436681
216, 10.013422727584839, 63150.58796296296
205, 10.021828413009644, 67620.3756097561
247, 10.017286777496338, 67001.1983805668
238, 10.03723406791687, 67736.41176470589
250, 10.018403768539429, 66654.356
236, 10.015344381332397, 65958.80084745762
255, 10.012129783630371, 66427.74509803922
230, 10.002174377441406, 66218.1695652174
207, 10.044453144073486, 66208.69082125604
202, 10.018991708755493, 62736.5099009901
204, 10.045098781585693, 65950.41666666667
220, 10.059851884841919, 65122.57727272727
227, 10.056477785110474, 63200.79295154185
194, 10.021842956542969, 63999.5618556701
253, 10.01401400566101, 63775.72727272727
247, 10.010358572006226, 63769.85020242915
220, 10.037041425704956, 64010.13636363636
234, 10.036396265029907, 64290.30341880342
266, 10.015977144241333, 64640.954887218046
231, 10.127820253372192, 64503.1645021645
215, 10.024431943893433, 64452.483720930235
270, 10.035585165023804, 64398.955555555556
206, 10.037101984024048, 64344.48058252427
239, 10.021122455596924, 64088.45188284519
236, 10.002584218978882, 63592.313559322036
213, 10.069803476333618, 63271.49765258216
208, 10.01746916770935, 63628.480769230766
235, 10.026574850082397, 63687.4170212766
244, 10.0072660446167, 63451.229508196724
236, 10.044140338897705, 63880.648305084746
272, 10.040963649749756, 63833.970588235294
226, 10.071004629135132, 63443.38495575221
212, 10.062506914138794, 63139.97169811321
230, 10.088637828826904, 63083.67391304348
246, 10.008693933486938, 64820.13008130081
228, 10.032535552978516, 64772.11842105263
205, 10.004530668258667, 64673.31707317073
258, 10.005097150802612, 64593.56589147287
249, 10.028851747512817, 64514.305220883536
200, 10.018830060958862, 64479.88
231, 10.002853870391846, 64517.25974025974
239, 10.024403810501099, 64381.539748953976
247, 10.025362014770508, 64483.554655870445
255, 10.006150245666504, 64800.86274509804
252, 10.000865936279297, 64534.416666666664
265, 10.008904933929443, 64568.981132075474
232, 10.02308702468872, 64761.237068965514
253, 10.018675804138184, 64730.22529644269
219, 10.024920463562012, 64667.10502283105
247, 10.028702735900879, 64682.87044534413
228, 10.008155584335327, 64617.478070175435
223, 10.022215127944946, 64560.488789237665
228, 10.022926568984985, 64506.337719298244
233, 10.07451343536377, 64339.47210300429
259, 10.02219843864441, 64216.42857142857
224, 10.027331590652466, 64103.10267857143
234, 10.033426284790039, 64130.03846153846
231, 10.010870695114136, 64053.90909090909
242, 10.059283018112183, 64001.69008264463
204, 10.051591396331787, 63920.8431372549
232, 10.063432931900024, 63677.71551724138
230, 10.00417423248291, 63885.03043478261
215, 10.063064575195312, 63879.497674418606
234, 10.02394962310791, 64022.82478632479
212, 10.034143686294556, 63647.34433962264
228, 10.088816404342651, 63026.21929824561
214, 10.06700873374939, 63897.54672897196
268, 10.0250084400177, 63970.60820895522
236, 10.039093017578125, 63950.313559322036
216, 10.065722703933716, 63976.67592592593
230, 10.005676031112671, 63833.41739130435
232, 10.008516788482666, 63509.68534482759
235, 10.02204442024231, 63886.744680851065
242, 10.043582677841187, 63890.561983471074
243, 10.017515420913696, 61923.8683127572
223, 10.025617837905884, 64267.08071748879
278, 10.035619497299194, 63916.910071942446
269, 10.02411937713623, 64130.702602230485
229, 10.030385494232178, 65183.572052401745
196, 10.067114353179932, 67715.01530612246
245, 10.007240295410156, 67098.76734693878
205, 10.06404423713684, 67334.53170731707
228, 10.005223035812378, 66600.37280701754
206, 10.009164333343506, 66918.40776699029
223, 10.02303147315979, 67357.2331838565
246, 10.017842292785645, 66189.59349593495
